Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,05/11/2022,4:45 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX16145704,,,,,,,,,,,,,,,
Batch,IgG_CovidOiseS4_30plex_plate5_20220511,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,mph,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Covid_30plex_new,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,65 uL,,,,,,,,,,,,,,,
BatchStartTime,5/12/2022 6:17:40 PM,,,,,,,,,,,,,,,
BatchStopTime,5/12/2022 7:19:45 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,30,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 05/09/2022 12:07:47,,,,,,,,,,,,,,,
Last VER Verification,Passed 05/09/2022 12:08:49,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 05/09/2022 12:10:09,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
