Program	xPONENT		Intelliflex																																																													
Build																																																																
Date	05/04/2023	16:39																																																														
																																																																
																																																																
																																																																
SN	IFLEXP22311001																																																															
Batch	PLATE_04052023_RUN006																																																															
Version	1																																																															
Operator	TBD																																																															
ComputerName	TBD																																																															
Country Code	409																																																															
ProtocolName																																																																
ProtocolVersion	N/A																																																															
ProtocolDescription																																																																
ProtocolDevelopingCompany																																																																
PanelName	62plex_CVI_VPD_MALCOM [v1]																																																															
MaxSampleUptakeVolume	50 ul																																																															
DDGate	7000 to 30000																																																															
SampleTimeout	40 sec																																																															
BatchStartTime	05/04/2023 15:30																																																															
BatchStopTime	05/04/2023 16:32																																																															
BatchDescription																																																																
ProtocolPlate	Name	TBD	Type	96	Plates	1																																																										
ProtocolMicrosphere	Map	TBD	Type	TBD	Count	TBD																																																										
ProtocolAnalysis	Off																																																															
NormBead	None																																																															
ProtocolHeater	Off																																																															
ProtocolOperatingMode	Luminex® 200™ Low PMT																																																															
BeadType	MagPlex																																																															
PrePlateRoutine																																																																
PostPlateRoutine	Wash																																																															
PostWellRoutine																																																																
PlateReadDirection	Horizontal																																																															
																																																																
																																																																
Most Recent Calibration and Control Results:																																																																
Last Calibration	Calibrated 04/04/2023 09:50																																																															
Last Verification	Verified 04/05/2023 10:00																																																															
Last Fluidics Test	Verified 04/05/2023 10:03																																																															
																																																																
CALInfo:																																																																
Classification Calibrator																																																																
Lot	ExpirationDate	CalibrationTime	CL1 Calibrated	CL1 Gain Final Volts	CL2 Calibrated	CL2 Gain Final Volts	CL3 Calibrated	CL3 Gain Final Volts	EDR Gain Calibrated	EDR Gain Final Volts	Lx200 RP1 High Gain Calibrated	Lx200 RP1 High Gain Final Volts	Lx200 RP1 Low Gain Calibrated	Lx200 RP1 Low Gain Final Volts	DDMag Calibrated	DDMag Gain Final Volts	DDMicro Calibrated	DDMicro Gain Final Volts	Standard RP1 Gain Calibrated	Standard RP1 Gain Final Volts																																												
B88778	06/14/2023 00:00	04/04/2023 09:50	True	85.48	True	85.93	True	83.9	True	84.03	True	575.85	True	467.74	True	59.04	True	86.47	True	606																																												
																																																																
Samples	96	Min Events		Per Bead																																																												
																																																																
Results																																																																
																																																																
DataType:	Median																																																															
Location	Sample	Adenovirus T3	Adenovirus T5	Bordetella p. Toxin	Bordetella p. FHA	HKU1_S	OC43_NP	OC43_S	HKU1_NP	CMV	Diptheria Toxin	229E_NP	Mumps_NP	EBV gp125	NL63_NP	Echovirus	Enterovirus CoxB3 VP1	HBeAg	NL63_S	229E_S	HBcAg	HCcAg	Measles_NP	ADE5	HEV ORF2	Measles lysate	Rub	ADE40	Mumps lysate	Tet_Tox	FluA	Norovirus GII.4 VLP	Norovirus GII.4 VP1	Norovirus GII.6 VLP	Respiratory Syncytial A	Respiratory Syncytial B	RSV gG	Rhinovirus T1A lysate	Rotavirus VP7	Tetanus Toxin	Varicella-Zoster Virus	Toxoplasma gondii SAG2	Hepatitis A	HBsAg	Mumps	Rubella Capsid	Rubella E2	HPV 16	HPV 18	Varicella-Zoster Virus ORF26	Lepto_CNR	OspA	OspC	p41B31	p41PKo	VlsEB31	VlSEPBi	B.Afzelii	B.Garinii	B.b Flagellin	B.b VlsE	OspB	EColi_lysat	Total Events
